customer_id,plan,mrr,start_date,end_date,churn_reason,source_system
C0001,pro,144.0,2024-01-30,2024-10-14,voluntary,crm
C0002,enterprise,495.0,2023-08-28,,,crm
C0003,starter,53.0,2022-01-28,,,billing
C0004,starter,48.0,2024-04-08,,,crm
C0005,starter,46.0,2022-08-09,,,crm
C0006,starter,49.0,2024-05-17,2025-03-13,involuntary,billing
C0007,enterprise,500.0,2022-03-22,,,legacy
C0008,starter,47.0,2023-12-23,2025-03-31,voluntary,crm
C0009,enterprise,495.0,2023-01-25,2024-12-05,involuntary,crm
C0010,starter,48.0,2023-12-20,,,crm
C0011,starter,47.0,2022-06-17,,,crm
C0012,pro,152.0,2022-08-13,,,crm
C0013,starter,49.0,2023-02-15,2023-10-20,,legacy
C0014,starter,54.0,2023-05-27,,,billing
C0015,starter,52.0,2023-07-06,2025-03-26,voluntary,legacy
C0016,starter,46.0,2023-06-06,,,crm
C0017,starter,46.0,2024-03-22,,,legacy
C0018,starter,51.0,2023-06-26,2025-02-11,involuntary,crm
C0019,starter,52.0,2024-02-08,2025-03-31,voluntary,crm
C0020,starter,48.0,2023-05-28,,,billing
C0021,enterprise,498.0,2024-05-11,,,legacy
C0022,starter,46.0,2023-07-07,,,billing
C0023,pro,151.0,2022-01-20,2023-02-25,involuntary,crm
C0024,starter,53.0,2022-03-22,2023-08-31,involuntary,billing
C0025,starter,51.0,2023-07-17,2025-02-06,involuntary,crm
C0026,enterprise,497.0,2024-01-01,2025-03-31,involuntary,billing
C0027,starter,47.0,2022-08-19,2022-10-09,voluntary,crm
C0028,starter,54.0,2022-03-02,2022-05-03,involuntary,crm
C0029,starter,51.0,2022-08-08,,,legacy
C0030,starter,51.0,2024-04-06,,,crm
C0031,starter,50.0,2023-02-25,,,crm
C0032,enterprise,495.0,2022-03-04,,,crm
C0033,starter,47.0,2022-07-14,,,crm
C0034,starter,47.0,2024-06-14,,,billing
C0035,enterprise,495.0,2022-02-21,,,billing
C0036,enterprise,497.0,2022-06-20,,,billing
C0037,starter,44.0,2022-06-18,,,crm
C0038,pro,151.0,2022-10-20,,,billing
C0039,starter,47.0,2022-10-31,2023-01-28,voluntary,billing
C0040,starter,44.0,2023-08-22,,,billing
C0041,enterprise,495.0,2024-05-21,2025-03-31,voluntary,crm
C0042,enterprise,503.0,2022-09-10,,,crm
C0043,starter,53.0,2023-08-02,,,crm
C0044,pro,147.0,2022-09-29,,,crm
C0045,enterprise,495.0,2022-01-10,,,legacy
